time,temperature,humidity,ph,ec
2025-05-01 5:00:00,21.17,48.11,6.61,1.07
2025-05-01 6:00:00,20.83,47.73,6.63,1.21
2025-05-01 7:00:00,22.06,54.48,6.67,1.06
2025-05-01 8:00:00,22.79,52.95,6.7,1.25
2025-05-01 9:00:00,22.99,52.04,6.74,1.09
2025-05-01 10:00:00,23,50.16,6.78,1.05
2025-05-01 11:00:00,23.21,49.07,6.82,1.13
2025-05-01 12:00:00,23.2,52.62,6.93,0.98
2025-05-01 13:00:00,23.33,49.29,6.98,0.95
2025-05-01 14:00:00,23.3,55.53,7,1.01
2025-05-01 15:00:00,23.48,52.42,7.03,0.9
2025-05-01 16:00:00,23.33,52,7.07,1.02
2025-05-01 17:00:00,23.27,49.18,7.11,0.94
2025-05-01 18:00:00,23.38,50.03,7.15,0.91
2025-05-01 19:00:00,23.47,49.68,7.18,0.89
2025-05-01 20:00:00,23.24,52.79,7.21,0.88
2025-05-01 21:00:00,22.48,52.97,7.23,0.89
2025-05-01 22:00:00,21.82,50.08,7.24,0.89
2025-05-01 23:00:00,21.6675,50.23,7.254,0.88
2025-05-02 0:00:00,21.515,50.38,7.268,0.87
2025-05-02 1:00:00,21.3625,50.53,7.282,0.86
2025-05-02 2:00:00,21.21,50.68,7.296,0.85
2025-05-02 3:00:00,21.0575,50.83,7.31,0.84
2025-05-02 4:00:00,20.905,50.98,7.315,0.795
2025-05-02 5:00:00,20.7525,51.13,7.32,0.75
2025-05-02 6:00:00,20.6,51.28,7.34,0.84
2025-05-02 7:00:00,20.8,52.34,7.35,0.8
2025-05-02 8:00:00,23,54.35,7.38,0.75
2025-05-02 9:00:00,23.54,53.53,7.41,0.82
2025-05-02 10:00:00,23.43,49.74,7.44,0.69
2025-05-02 11:00:00,23.53,49.49,7.45,0.79
2025-05-02 12:00:00,23.4,55.87,7.47,0.79
2025-05-02 13:00:00,23.48,51.33,7.49,0.68
2025-05-02 14:00:00,23.55,54.48,7.53,0.61
2025-05-02 15:00:00,23.5,49.62,7.56,0.65
2025-05-02 16:00:00,23.41,50.6,7.58,0.63
2025-05-02 17:00:00,23.36,51.97,7.59,0.65
2025-05-02 18:00:00,23.64,50.13,7.61,0.58
2025-05-02 19:00:00,23.59,51.68,7.62,0.58
2025-05-02 20:00:00,23.44,53.05,7.62,0.64
2025-05-02 21:00:00,23.4,52.88,7.62,0.57
2025-05-02 22:00:00,22.16,50.12,7.61,0.59
2025-05-02 23:00:00,21.99571429,50.04428571,7.602,0.57
2025-05-03 0:00:00,21.83142857,49.96857143,7.594,0.55
2025-05-03 1:00:00,21.66714286,49.89285714,7.586,0.53
2025-05-03 2:00:00,21.50285714,49.81714286,7.578,0.51
2025-05-03 3:00:00,21.33857143,49.74142857,7.57,0.49
2025-05-03 4:00:00,21.17428571,49.66571429,7.58,0.53
2025-05-03 5:00:00,21.01,49.59,7.59,0.51
2025-05-03 6:00:00,20.98,49.24,7.6,0.55
2025-05-03 7:00:00,21.39,52.56,7.62,0.46
2025-05-03 8:00:00,22.24,53.35,7.64,0.45
2025-05-03 9:00:00,22.49,51.41,7.63,0.43
2025-05-03 10:00:00,22.76,50.9,7.67,0.47
2025-05-03 11:00:00,22.85,53.67,7.71,0.49
2025-05-03 12:00:00,22.82,51.17,7.72,0.48
2025-05-03 13:00:00,23.04,54.3,7.73,0.43
2025-05-03 14:00:00,23.09,54.75,7.71,0.42
2025-05-03 15:00:00,23.04,52.29,7.73,0.42
2025-05-03 16:00:00,22.79,52.29,7.75,0.42
2025-05-03 17:00:00,22.88,51.66,7.74,0.36
2025-05-03 18:00:00,22.9,51.47,7.74,0.42
2025-05-03 19:00:00,22.85,51.48,7.76,0.42
2025-05-03 20:00:00,22.74,50.61,7.78,0.36
2025-05-03 21:00:00,22.27,51.58,7.77,0.41
2025-05-03 22:00:00,21.35,51.56,7.74,0.4
2025-05-03 23:00:00,21.11,49.04,7.72,0.37
2025-05-04 0:00:00,20.98,52.37,7.7,0.36
2025-05-04 1:00:00,20.7,51.57,7.69,0.37
2025-05-04 2:00:00,20.76,51.63,7.67,0.37
2025-05-04 3:00:00,20.59,52.92,7.64,0.35
2025-05-04 4:00:00,20.48,54.22,7.64,0.32
2025-05-04 5:00:00,20.36,51.51,7.66,0.34
2025-05-04 6:00:00,20.65,50.42,7.66,0.35
2025-05-04 7:00:00,21.73,51.37,7.66,0.35
2025-05-04 8:00:00,22.81,54.2,7.7,0.32
2025-05-04 9:00:00,23.24,54,7.72,0.34
2025-05-04 10:00:00,23.37,55.59,7.75,0.32
2025-05-04 11:00:00,23.17,56.63,7.76,0.3
2025-05-04 12:00:00,23.13,52.4,7.77,0.3
2025-05-04 13:00:00,23.04,55.03,7.79,0.34
2025-05-04 14:00:00,23.29,50.19,7.8,0.34
2025-05-04 15:00:00,23.37,56.27,7.81,0.32
2025-05-04 16:00:00,23.36,54.42,7.81,0.29
2025-05-04 17:00:00,23.23,53.33,7.82,0.33
2025-05-04 18:00:00,23.04,54.15,7.82,0.32
2025-05-04 19:00:00,23.1,53.42,7.81,0.29
2025-05-04 20:00:00,22.95,51.98,7.8,0.28
2025-05-04 21:00:00,22.59,53.48,7.78,0.28
2025-05-04 22:00:00,21.86,49.76,7.75,0.31
2025-05-04 23:00:00,21.31,51.85,7.73,0.3
2025-05-05 0:00:00,21.21,50.25,7.72,0.3
2025-05-05 1:00:00,20.83,51.37,7.69,0.29
2025-05-05 2:00:00,20.9,49.47,7.69,0.28
2025-05-05 3:00:00,20.76,51.39,7.68,0.29
2025-05-05 4:00:00,20.83,51.81,7.68,0.28
2025-05-05 5:00:00,20.69,50.97,7.67,0.27
2025-05-05 6:00:00,20.84,51.29,7.67,0.28
2025-05-05 7:00:00,21.24,54.23,7.69,0.31
2025-05-05 8:00:00,22.35,52.56,7.72,0.27
2025-05-05 9:00:00,22.81,53.06,7.73,0.28
2025-05-05 10:00:00,22.66,53.79,7.74,0.26
2025-05-05 11:00:00,22.9,52.91,7.76,0.26
2025-05-05 12:00:00,22.9,55.43,7.77,0.27
2025-05-05 13:00:00,22.95,53.05,7.77,0.25
2025-05-05 14:00:00,22.72,53.86,7.77,0.25
2025-05-05 15:00:00,22.71,53.83,7.77,0.25
2025-05-05 16:00:00,22.65,52.44,7.78,0.29
2025-05-05 17:00:00,22.55,52.48,7.78,0.26
2025-05-05 18:00:00,22.76,52.23,7.79,0.28
2025-05-05 19:00:00,22.81,53.83,7.79,0.26
2025-05-05 20:00:00,22.69,50.48,7.78,0.25
2025-05-05 21:00:00,22.3,52.2,7.77,0.25
2025-05-05 22:00:00,21.25,51.37,7.74,0.26
2025-05-05 23:00:00,21.16428571,51.30571429,7.722,0.262
2025-05-06 0:00:00,21.07857143,51.24142857,7.704,0.264
2025-05-06 1:00:00,20.99285714,51.17714286,7.686,0.266
2025-05-06 2:00:00,20.90714286,51.11285714,7.668,0.268
2025-05-06 3:00:00,20.82142857,51.04857143,7.65,0.27
2025-05-06 4:00:00,20.73571429,50.98428571,7.66,0.24
2025-05-06 5:00:00,20.65,50.92,7.65,0.27
2025-05-06 6:00:00,20.59,54.62,7.66,0.25
2025-05-06 7:00:00,22.31,54.04,7.66,0.22
2025-05-06 8:00:00,23.1,56.51,7.7,0.25
2025-05-06 9:00:00,23.16,53.43,7.72,0.25
2025-05-06 10:00:00,23.27,51.28,7.75,0.27
2025-05-06 11:00:00,23.27,54.29,7.75,0.25
2025-05-06 12:00:00,23.16,54.69,7.76,0.25
2025-05-06 13:00:00,23.07,56.7,7.77,0.23
2025-05-06 14:00:00,23.16,57.38,7.78,0.27
2025-05-06 15:00:00,23.17,54.83,7.79,0.25
2025-05-06 16:00:00,23.16,54.12,7.79,0.26
2025-05-06 17:00:00,23.14,50.95,7.74,0.25
2025-05-06 18:00:00,23.1,54.77,7.72,0.26
2025-05-06 19:00:00,23,56.09,7.74,0.24
2025-05-06 20:00:00,22.98,54.45,7.73,0.24
2025-05-06 21:00:00,21.96,52.04,7.72,0.25
2025-05-06 22:00:00,21.8575,52.025,7.701666667,0.248333333
2025-05-06 23:00:00,21.755,52.01,7.683333333,0.246666667
2025-05-07 0:00:00,21.6525,51.995,7.665,0.245
2025-05-07 1:00:00,21.55,51.98,7.646666667,0.243333333
2025-05-07 2:00:00,21.4475,51.965,7.628333333,0.241666667
2025-05-07 3:00:00,21.345,51.95,7.61,0.24
2025-05-07 4:00:00,21.2425,51.935,7.61,0.23
2025-05-07 5:00:00,21.14,51.92,7.59,0.24
2025-05-07 6:00:00,20.86,50.66,7.6,0.27
2025-05-07 7:00:00,21.1,50.55,7.61,0.25
2025-05-07 8:00:00,22.85,54.27,7.63,0.26
2025-05-07 9:00:00,23.36,50.84,7.6,0.23
2025-05-07 10:00:00,23.59,51.62,7.63,0.23
2025-05-07 11:00:00,23.5,54.56,7.64,0.22
2025-05-07 12:00:00,23.46,55.05,7.66,0.25
2025-05-07 13:00:00,23.44,58.52,7.62,0.24
2025-05-07 14:00:00,23.43,53.32,7.49,0.24
2025-05-07 15:00:00,23.4,55.4,7.41,0.24
2025-05-07 16:00:00,23.2,52.95,7.46,0.24
2025-05-07 17:00:00,23.34,51.68,7.5,0.23
2025-05-07 18:00:00,23.41,54.02,7.55,0.23
2025-05-07 19:00:00,23.44,53.81,7.575,0.23
2025-05-07 20:00:00,23.36,53.11,7.6,0.23
2025-05-07 21:00:00,23.27,50.44,7.6,0.22
2025-05-07 22:00:00,22.08,49.72,7.58,0.25
2025-05-07 23:00:00,21.91142857,50.14285714,7.576,0.248
2025-05-08 0:00:00,21.74285714,50.56571429,7.572,0.246
2025-05-08 1:00:00,21.57428571,50.98857143,7.568,0.244
2025-05-08 2:00:00,21.40571429,51.41142857,7.564,0.242
2025-05-08 3:00:00,21.23714286,51.83428571,7.56,0.24
2025-05-08 4:00:00,21.06857143,52.25714286,7.51,0.23
2025-05-08 5:00:00,20.9,52.68,7.51,0.22
2025-05-08 6:00:00,21.11,51.26,7.52,0.24
2025-05-08 7:00:00,22.11,54.82,7.53,0.21
2025-05-08 8:00:00,23.11,55.87,7.57,0.23
2025-05-08 9:00:00,23.31,51.83,7.58,0.21
2025-05-08 10:00:00,23.74,49.52,7.6,0.24
2025-05-08 11:00:00,23.57,52.18,7.61,0.22
2025-05-08 12:00:00,23.61,48.92,7.58,0.24
2025-05-08 13:00:00,23.59,52.75,7.47,0.24
2025-05-08 14:00:00,23.68,54.32,7.46,0.21
2025-05-08 15:00:00,23.71,50.75,7.47,0.21
2025-05-08 16:00:00,23.66,52.18,7.45,0.21
2025-05-08 17:00:00,23.75,48.46,7.43,0.22
2025-05-08 18:00:00,23.59,49.26,7.44,0.215
2025-05-08 19:00:00,23.81,48.91,7.45,0.21
2025-05-08 20:00:00,23.59,54.8,7.46,0.23
2025-05-08 21:00:00,22.83,51.24,7.41,0.21
2025-05-08 22:00:00,21.94,51.08,7.41,0.22
2025-05-08 23:00:00,21.83714286,51.51142857,7.398,0.22
2025-05-09 0:00:00,21.73428571,51.94285714,7.386,0.22
2025-05-09 1:00:00,21.63142857,52.37428571,7.374,0.22
2025-05-09 2:00:00,21.52857143,52.80571429,7.362,0.22
2025-05-09 3:00:00,21.42571429,53.23714286,7.35,0.22
2025-05-09 4:00:00,21.32285714,53.66857143,7.35,0.21
2025-05-09 5:00:00,21.22,54.1,7.37,0.21
2025-05-09 6:00:00,21.17,50.31,7.36,0.21
2025-05-09 7:00:00,22.27,53.67,7.39,0.19
2025-05-09 8:00:00,22.65,52.74,7.45,0.21
2025-05-09 9:00:00,22.9,52.95,7.45,0.23
2025-05-09 10:00:00,22.96,52.89,7.47,0.22
2025-05-09 11:00:00,22.69,51.05,7.49,0.19
2025-05-09 12:00:00,22.48,54.09,7.51,0.21
2025-05-09 13:00:00,22.28,55.04,7.45,0.2
2025-05-09 14:00:00,22.27,56.68,7.39,0.19
2025-05-09 15:00:00,22.45,53.93,7.37,0.2
2025-05-09 16:00:00,23.04,51.67,7.45,0.2
2025-05-09 17:00:00,23.27,54.19,7.49,0.22
2025-05-09 18:00:00,23.24,53.52,7.49,0.21
2025-05-09 19:00:00,23.21,54.58,7.49,0.23
2025-05-09 20:00:00,23.24,52.66,7.49,0.2
2025-05-09 21:00:00,22.37,53.21,7.51,0.2
2025-05-09 22:00:00,22.2475,52.84125,7.48,0.21
2025-05-09 23:00:00,22.125,52.4725,7.468,0.206
2025-05-10 0:00:00,22.0025,52.10375,7.456,0.202
2025-05-10 1:00:00,21.88,51.735,7.444,0.198
2025-05-10 2:00:00,21.7575,51.36625,7.432,0.194
2025-05-10 3:00:00,21.635,50.9975,7.42,0.19
2025-05-10 4:00:00,21.5125,50.62875,7.41,0.19
2025-05-10 5:00:00,21.39,50.26,7.41,0.2
2025-05-10 6:00:00,21,54.12,7.39,0.19
2025-05-10 7:00:00,21.2,53.9,7.37,0.18
2025-05-10 8:00:00,22.03,54.57,7.38,0.18
2025-05-10 9:00:00,22.48,53.36,7.42,0.18
2025-05-10 10:00:00,22.55,57.16,7.39,0.19
2025-05-10 11:00:00,22.59,54.68,7.44,0.2
2025-05-10 12:00:00,22.56,55.65,7.41,0.18
2025-05-10 13:00:00,22.52,55.35,7.39,0.18
2025-05-10 14:00:00,22.47,57.01,7.37,0.18
2025-05-10 15:00:00,22.34,56.65,7.42,0.21
2025-05-10 16:00:00,22.51,55.12,7.38,0.18
2025-05-10 17:00:00,22.43,58.02,7.46,0.18
2025-05-10 18:00:00,22.47,57.51,7.4,0.18
2025-05-10 19:00:00,22.43,56.44,7.41,0.18
2025-05-10 20:00:00,22.51,54.45,7.43,0.19
2025-05-10 21:00:00,22.28,56.85,7.44,0.18
2025-05-10 22:00:00,21.32,49.8,7.4,0.19
2025-05-10 23:00:00,21.15,50.57,7.38,0.21
2025-05-11 0:00:00,20.88,51.53,7.39,0.18
2025-05-11 1:00:00,20.88,50.87,7.42,0.19
2025-05-11 2:00:00,20.76,51.15,7.41,0.19
2025-05-11 3:00:00,20.67,52.33,7.4,0.21
2025-05-11 4:00:00,20.49,55.96,7.39,0.19
2025-05-11 5:00:00,20.4,53.63,7.35,0.21
2025-05-11 6:00:00,20.7,52.36,7.34,0.21
2025-05-11 7:00:00,20.96,51.15,7.36,0.18
2025-05-11 8:00:00,21.96,55.48,7.38,0.22
2025-05-11 9:00:00,22.61,53.9,7.43,0.19
2025-05-11 10:00:00,22.68,57.7,7.43,0.2
2025-05-11 11:00:00,22.74,57.58,7.425,0.205
2025-05-11 12:00:00,22.76,55.61,7.42,0.21
2025-05-11 13:00:00,22.83,52.72,7.42,0.19
2025-05-11 14:00:00,22.86,56.55,7.46,0.18
2025-05-11 15:00:00,23.02,58.63,7.44,0.19
2025-05-11 16:00:00,23.02,54.77,7.47,0.18
2025-05-11 17:00:00,22.9,56.51,7.49,0.19
2025-05-11 18:00:00,22.82,58.42,7.5,0.18
2025-05-11 19:00:00,22.66,56.94,7.51,0.18
2025-05-11 20:00:00,22.85,53.79,7.51,0.18
2025-05-11 21:00:00,22.59,56.04,7.51,0.17
2025-05-11 22:00:00,21.76,52.9,7.48,0.18
2025-05-11 23:00:00,21.42,50.51,7.43,0.19
2025-05-12 0:00:00,21.17,50.88,7.37,0.18
2025-05-12 1:00:00,20.8,52.33,7.36,0.19
2025-05-12 2:00:00,20.79,50.21,7.38,0.2
2025-05-12 3:00:00,20.88,53.38,7.35,0.19
2025-05-12 4:00:00,20.75,50.35,7.34,0.21
2025-05-12 5:00:00,20.59,52.45,7.34,0.18
2025-05-12 6:00:00,20.62,51.64,7.37,0.2
2025-05-12 7:00:00,21.18,56.14,7.36,0.21
2025-05-12 8:00:00,22.74,53.14,7.35,0.21
2025-05-12 9:00:00,23.09,51.51,7.33,0.22
2025-05-12 10:00:00,23.37,53.8,7.31,0.24
2025-05-12 11:00:00,23.33,56.22,7.28,0.23
2025-05-12 12:00:00,23.37,55.53,7.28,0.23
2025-05-12 13:00:00,23.21,52.45,7.29,0.24
2025-05-12 14:00:00,23.23,55.92,7.285,0.24
2025-05-12 15:00:00,23.34,55.83,7.28,0.24
2025-05-12 16:00:00,23.21,54.8,7.3,0.24
2025-05-12 17:00:00,23.47,49.29,7.29,0.25
2025-05-12 18:00:00,23.51,49.52,7.3,0.25
2025-05-12 19:00:00,23.41,53.22,7.27,0.23
2025-05-12 20:00:00,23.51,54.06,7.27,0.24
2025-05-12 21:00:00,23.17,52.59,7.26,0.26
2025-05-12 22:00:00,22.4,49.21,7.25,0.24
2025-05-12 23:00:00,22.23571429,49.35714286,7.242,0.248
2025-05-13 0:00:00,22.07142857,49.50428571,7.234,0.256
2025-05-13 1:00:00,21.90714286,49.65142857,7.226,0.264
2025-05-13 2:00:00,21.74285714,49.79857143,7.218,0.272
2025-05-13 3:00:00,21.57857143,49.94571429,7.21,0.28
2025-05-13 4:00:00,21.41428571,50.09285714,7.23,0.3
2025-05-13 5:00:00,21.25,50.24,7.24,0.31
2025-05-13 6:00:00,21.21,52.28,7.28,0.28
2025-05-13 7:00:00,22.07,56.01,7.29,0.31
2025-05-13 8:00:00,22.43,56.98,7.3,0.27
2025-05-13 9:00:00,23.34,52.25,7.31,0.27
2025-05-13 10:00:00,23.66,51.32,7.32,0.27
2025-05-13 11:00:00,23.59,51.28,7.35,0.27
2025-05-13 12:00:00,23.62,51.04,7.37,0.27
2025-05-13 13:00:00,23.69,57.06,7.38,0.28
2025-05-13 14:00:00,23.69,53.54,7.37,0.25
2025-05-13 15:00:00,23.72,51.28,7.37,0.26
2025-05-13 16:00:00,23.81,53.55,7.38,0.25
2025-05-13 17:00:00,23.95,53.83,7.38,0.24
2025-05-13 18:00:00,23.5,53.37,7.41,0.26
2025-05-13 19:00:00,23.66,51.9,7.41,0.24
2025-05-13 20:00:00,23.66,56.1,7.4,0.23
2025-05-13 21:00:00,23.13,52.02,7.38,0.23
2025-05-13 22:00:00,22.59,49.61,7.37,0.24
2025-05-13 23:00:00,22.46285714,49.97714286,7.366,0.234
2025-05-14 0:00:00,22.33571429,50.34428571,7.362,0.228
2025-05-14 1:00:00,22.20857143,50.71142857,7.358,0.222
2025-05-14 2:00:00,22.08142857,51.07857143,7.354,0.216
2025-05-14 3:00:00,21.95428571,51.44571429,7.35,0.21
2025-05-14 4:00:00,21.82714286,51.81285714,7.35,0.215
2025-05-14 5:00:00,21.7,52.18,7.35,0.22
2025-05-14 6:00:00,22.03,53.52,7.37,0.23
2025-05-14 7:00:00,23.62,53.13,7.38,0.23
2025-05-14 8:00:00,24.03,50.36,7.38,0.22
2025-05-14 9:00:00,24.17,57.1,7.33,0.23
2025-05-14 10:00:00,24.01,52.89,7.36,0.2
2025-05-14 11:00:00,23.85,55.82,7.4,0.2
2025-05-14 12:00:00,23.92,50.18,7.39,0.21
2025-05-14 13:00:00,23.91,57.18,7.36,0.2
2025-05-14 14:00:00,23.66,49.62,7.41,0.19
2025-05-14 15:00:00,24.84,54.65,7.34,0.19
2025-05-14 16:00:00,27.32,55.53,7.33,0.22
2025-05-14 17:00:00,27.9,45.33,7.33,0.21
2025-05-14 18:00:00,24.43,50.2,7.37,0.2
2025-05-14 19:00:00,24.03,50.98,7.33,0.2
2025-05-14 20:00:00,24.02,50.24,7.33,0.22
2025-05-14 21:00:00,23.2,53.42,7.3,0.19
2025-05-14 22:00:00,23.09375,52.98,7.308333333,0.193333333
2025-05-14 23:00:00,22.9875,52.54,7.316666667,0.196666667
2025-05-15 0:00:00,22.88125,52.1,7.325,0.2
2025-05-15 1:00:00,22.775,51.66,7.333333333,0.203333333
2025-05-15 2:00:00,22.66875,51.22,7.341666667,0.206666667
2025-05-15 3:00:00,22.5625,50.78,7.35,0.21
2025-05-15 4:00:00,22.45625,50.34,7.35,0.19
2025-05-15 5:00:00,22.35,49.9,7.35,0.19
2025-05-15 6:00:00,22.17,51.55,7.36,0.21
2025-05-15 7:00:00,22.27,55.22,7.35,0.19
2025-05-15 8:00:00,23.11,53.27,7.36,0.18
2025-05-15 9:00:00,23.55,55.68,7.37,0.2
2025-05-15 10:00:00,23.71,55.19,7.39,0.2
2025-05-15 11:00:00,23.78,49.39,7.41,0.2
2025-05-15 12:00:00,24.16,50.63,7.41,0.18
2025-05-15 13:00:00,24.09,48.82,7.32,0.18
2025-05-15 14:00:00,23.88,55.52,7.31,0.17
2025-05-15 15:00:00,23.78,46.36,7.36,0.18
2025-05-15 16:00:00,24.06,48.84,7.26,0.19
2025-05-15 17:00:00,23.86,51.52,7.24,0.19
2025-05-15 18:00:00,23.51,53.46,7.22,0.19
2025-05-15 19:00:00,23.51,48.38,7.24,0.2
2025-05-15 20:00:00,23.43,49.1,7.23,0.21
2025-05-15 21:00:00,23.13,52.63,7.24,0.21
2025-05-15 22:00:00,22.49,50.18,7.25,0.19
2025-05-15 23:00:00,22.40428571,50.33714286,7.262,0.19
2025-05-16 0:00:00,22.31857143,50.49428571,7.274,0.19
2025-05-16 1:00:00,22.23285714,50.65142857,7.286,0.19
2025-05-16 2:00:00,22.14714286,50.80857143,7.298,0.19
2025-05-16 3:00:00,22.06142857,50.96571429,7.31,0.19
2025-05-16 4:00:00,21.97571429,51.12285714,7.31,0.18
2025-05-16 5:00:00,21.89,51.28,7.3,0.18
2025-05-16 6:00:00,21.9,51.32,7.29,0.2
2025-05-16 7:00:00,22.81,52.25,7.31,0.185
2025-05-16 8:00:00,23.2,53.75,7.33,0.17
2025-05-16 9:00:00,23.47,55.53,7.36,0.17
2025-05-16 10:00:00,23.66,52.91,7.34,0.18
2025-05-16 11:00:00,23.85,58.3,7.38,0.2
2025-05-16 12:00:00,23.69,49.06,7.39,0.2
2025-05-16 13:00:00,23.53,50.68,7.4,0.2
2025-05-16 14:00:00,23.53,47.7,7.29,0.19
2025-05-16 15:00:00,23.76,47.49,7.29,0.19
2025-05-16 16:00:00,23.57,48.96,7.29,0.18
2025-05-16 17:00:00,23.76,52.06,7.23,0.17
2025-05-16 18:00:00,23.54,50.94,7.15,0.21
2025-05-16 19:00:00,23.72,50.04,7.15,0.22
2025-05-16 20:00:00,23.84,52.01,7.18,0.2
2025-05-16 21:00:00,23,52.33,7.24,0.2
2025-05-16 22:00:00,22.65,51.1,7.21,0.21
2025-05-16 23:00:00,22.52125,51.1425,7.211666667,0.215
2025-05-17 0:00:00,22.3925,51.185,7.213333333,0.22
2025-05-17 1:00:00,22.26375,51.2275,7.215,0.225
2025-05-17 2:00:00,22.135,51.27,7.216666667,0.23
2025-05-17 3:00:00,22.00625,51.3125,7.218333333,0.235
2025-05-17 4:00:00,21.8775,51.355,7.22,0.24
2025-05-17 5:00:00,21.74875,51.3975,7.24,0.22
2025-05-17 6:00:00,21.62,51.44,7.23,0.22
2025-05-17 7:00:00,22.01,50.82,7.25,0.21
2025-05-17 8:00:00,23.61,47.19,7.22,0.23
2025-05-17 9:00:00,24.03,54.35,7.26,0.2
2025-05-17 10:00:00,24.3,56.21,7.28,0.22
2025-05-17 11:00:00,24.23,56.61,7.31,0.21
2025-05-17 12:00:00,23.98,53.23,7.33,0.18
2025-05-17 13:00:00,23.96,55.38,7.3,0.18
2025-05-17 14:00:00,23.96,52.5,7.33,0.2
2025-05-17 15:00:00,24.03,53.39,7.31,0.2
2025-05-17 16:00:00,23.92,51.39,7.31,0.21
2025-05-17 17:00:00,23.92,53.78,7.3,0.19
2025-05-17 18:00:00,23.78,53.44,7.35,0.18
2025-05-17 19:00:00,23.74,54.07,7.39,0.21
2025-05-17 20:00:00,23.71,52.45,7.36,0.21
2025-05-17 21:00:00,23.74,49.5,7.31,0.19
2025-05-17 22:00:00,22.79,53.35,7.28,0.21
2025-05-17 23:00:00,22.54,50.01,7.28,0.2
2025-05-18 0:00:00,22.27,50.22,7.29,0.21
2025-05-18 1:00:00,21.96,51.89,7.29,0.18
2025-05-18 2:00:00,21.9,49.68,7.26,0.19
2025-05-18 3:00:00,21.72,50.85,7.25,0.2
2025-05-18 4:00:00,21.75,50.55,7.27,0.19
2025-05-18 5:00:00,21.72,52.55,7.27,0.18
2025-05-18 6:00:00,21.59,52.65,7.27,0.18
2025-05-18 7:00:00,21.72,51.21,7.29,0.18
2025-05-18 8:00:00,23.02,54.04,7.28,0.19
2025-05-18 9:00:00,23.51,54.11,7.31,0.21
2025-05-18 10:00:00,23.54,54.42,7.32,0.2
2025-05-18 11:00:00,23.5,53.13,7.34,0.21
2025-05-18 12:00:00,23.74,50.84,7.29,0.22
2025-05-18 13:00:00,23.78,55.35,7.32,0.21
2025-05-18 14:00:00,23.75,55.03,7.38,0.21
2025-05-18 15:00:00,23.72,56.85,7.35,0.22
2025-05-18 16:00:00,23.75,57.41,7.33,0.21
2025-05-18 17:00:00,23.69,58.14,7.36,0.19
2025-05-18 18:00:00,23.59,52.5,7.39,0.2
2025-05-18 19:00:00,23.61,51.88,7.39,0.18
2025-05-18 20:00:00,23.44,54.29,7.34,0.19
2025-05-18 21:00:00,23.48,55.38,7.31,0.22
2025-05-18 22:00:00,22.56,53.08,7.32,0.2
2025-05-18 23:00:00,22.23,49.81,7.33,0.2
2025-05-19 0:00:00,21.9,49.67,7.27,0.2
2025-05-19 1:00:00,21.72,50.08,7.31,0.2
2025-05-19 2:00:00,21.56,52.97,7.28,0.21
2025-05-19 3:00:00,21.53,50.3,7.29,0.2
2025-05-19 4:00:00,21.41,50.68,7.28,0.2
2025-05-19 5:00:00,21.32,51.16,7.3,0.21
2025-05-19 6:00:00,21.13,52.26,7.3,0.19
2025-05-19 7:00:00,21.24,54.36,7.23,0.24
2025-05-19 8:00:00,22.35,52.73,7.13,0.32
2025-05-19 9:00:00,22.79,52.14,7.16,0.34
2025-05-19 10:00:00,23.09,57.67,7.16,0.4
2025-05-19 11:00:00,23.41,54.26,7.155,0.43
2025-05-19 12:00:00,23.46,57.62,7.15,0.46
2025-05-19 13:00:00,23.27,51.2,7.08,0.52
2025-05-19 14:00:00,23.41,51.97,6.97,0.57
2025-05-19 15:00:00,22.93,55.77,6.91,0.64
2025-05-19 16:00:00,23.41,56.17,6.91,0.63
2025-05-19 17:00:00,23.43,51.43,6.92,0.63
2025-05-19 18:00:00,23.03,50.83,6.94,0.64
2025-05-19 19:00:00,22.95,51.56,6.95,0.64
2025-05-19 20:00:00,22.83,50.34,6.98,0.71
2025-05-19 21:00:00,23.03,52.12,6.98,0.75
2025-05-19 22:00:00,22.24,52,6.95,0.68
2025-05-19 23:00:00,22.12285714,51.77714286,6.964,0.688
2025-05-20 0:00:00,22.00571429,51.55428571,6.978,0.696
2025-05-20 1:00:00,21.88857143,51.33142857,6.992,0.704
2025-05-20 2:00:00,21.77142857,51.10857143,7.006,0.712
2025-05-20 3:00:00,21.65428571,50.88571429,7.02,0.72
2025-05-20 4:00:00,21.53714286,50.66285714,7.05,0.72
2025-05-20 5:00:00,21.42,50.44,7.06,0.72
2025-05-20 6:00:00,21.28,52.62,7.06,0.67
2025-05-20 7:00:00,21.75,53.85,7.07,0.75
2025-05-20 8:00:00,22.63,53.08,7.05,0.66
2025-05-20 9:00:00,22.81,57.49,7.05,0.69
2025-05-20 10:00:00,22.93,59.55,7.01,0.96
2025-05-20 11:00:00,23.06,57.89,7,0.79
2025-05-20 12:00:00,23.21,53.59,6.98,0.93
2025-05-20 13:00:00,23.02,56.77,6.89,0.95
2025-05-20 14:00:00,23.37,51.73,6.83,0.97
2025-05-20 15:00:00,23.74,54.43,6.84,0.96
2025-05-20 16:00:00,23.72,56.32,6.85,1.06
2025-05-20 17:00:00,23.55,57.48,6.85,1.11
2025-05-20 18:00:00,23.75,51.15,6.845,1.085
2025-05-20 19:00:00,23.46,58.78,6.84,1.06
2025-05-20 20:00:00,23.37,53.1,6.82,1.08
2025-05-20 21:00:00,23.04,56.05,6.81,1.16
